FIN Flag Count,ACK Flag Count,PSH Flag Count,Init_Win_bytes_forward,Init_Win_bytes_backward,min_seg_size_forward,act_data_pkt_fwd,Total Fwd Packets,Total Length of Fwd Packets,Destination Port,Flow Packets/s,Flow Bytes/s,Fwd Packets/s,Bwd Packets/s,Flow IAT Mean,Flow IAT Min,Flow IAT Std,Flow Duration,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Max,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Average Packet Size,Subflow Fwd Bytes,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Attack Type,_protocol
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,2,40,80,0.696621386,13.93242773,0.696621386,0,2871000,2871000,0,2871000,40,40,40,0,0,0,0,0,2871000,2871000,2871000,0,2871000,2871000,0,0,0,0,0,40,0,40,40,40,0,0,20,40,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,2,40,80,0.69637883,13.9275766,0.69637883,0,2872000,2872000,0,2872000,40,40,40,0,0,0,0,0,2872000,2872000,2872000,0,2872000,2872000,0,0,0,0,0,40,0,40,40,40,0,0,20,40,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,2,40,80,0.696136443,13.92272885,0.696136443,0,2873000,2873000,0,2873000,40,40,40,0,0,0,0,0,2873000,2873000,2873000,0,2873000,2873000,0,0,0,0,0,40,0,40,40,40,0,0,20,40,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,2,40,80,0.695652174,13.91304348,0.695652174,0,2875000,2875000,0,2875000,40,40,40,0,0,0,0,0,2875000,2875000,2875000,0,2875000,2875000,0,0,0,0,0,40,0,40,40,40,0,0,20,40,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,2,40,80,0.695652174,13.91304348,0.695652174,0,2875000,2875000,0,2875000,40,40,40,0,0,0,0,0,2875000,2875000,2875000,0,2875000,2875000,0,0,0,0,0,40,0,40,40,40,0,0,20,40,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,2,40,80,0.695652174,13.91304348,0.695652174,0,2875000,2875000,0,2875000,40,40,40,0,0,0,0,0,2875000,2875000,2875000,0,2875000,2875000,0,0,0,0,0,40,0,40,40,40,0,0,20,40,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,2,40,80,0.695410292,13.90820584,0.695410292,0,2876000,2876000,0,2876000,40,40,40,0,0,0,0,0,2876000,2876000,2876000,0,2876000,2876000,0,0,0,0,0,40,0,40,40,40,0,0,20,40,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,2,40,80,0.695168578,13.90337157,0.695168578,0,2877000,2877000,0,2877000,40,40,40,0,0,0,0,0,2877000,2877000,2877000,0,2877000,2877000,0,0,0,0,0,40,0,40,40,40,0,0,20,40,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,Normal Traffic,6
